ID_Properti,Alamat,Kota,Tipe_Properti,Harga_Beli_Properti,Harga_Jual_Properti,Biaya_Operasional_Tahunan,Kenaikan_Harga,Kelas_Fasilitas_Sekitar,Luas_Bangunan,Usia_Properti
PID0001,Jl Mayjend Sungkono,Surabaya,Komplek Perumahan,7857167169,9333509846,3058430043.9049387,9,Kantor;Pusat Perbelanjaan;Transportasi Umum,461,36
PID0002,Jl Ijen Nirwana,Malang,Komplek Perumahan,6959136086,7632959446,86795606.37206249,2,Pabrik;Taman;Sekolah,653,8
PID0003,Jl Mayjend Sungkono,Surabaya,Rumah Tunggal,3336395524,3411774337,33363955.240000002,1,Pabrik,506,11
PID0004,Jl Brigjend Slamet Riyadi,Malang,Rumah Tunggal,6833599209,7797825137,165924174.94804528,3,Pabrik;Taman;Sekolah,676,47
PID0005,Jl Mayjend Sungkono,Surabaya,Komplek Perumahan,7347488802,8108498536,3522429690.463977,9,Objek Wisata;Pusat Hiburan,916,9
PID0006,Jl Soekarno Hatta,Malang,Rumah Tunggal,1280948480,1349837292,365570687.7421918,6,Sekolah;Taman;Pusat Perbelanjaan,385,44
PID0007,Jl Gubeng,Surabaya,Rumah Tunggal,6449428136,7142555702,1605412210.766551,10,Kantor;Pusat Perbelanjaan;Transportasi Umum,657,42
PID0008,Jl Soekarno Hatta,Malang,Ruko,7250070569,7737120837,2861932595.7135487,7,Sekolah;Taman;Pusat Perbelanjaan,599,49
PID0009,Jl Panglima Sudirman,Pasuruan,Gudang,8369155781,9806317829,83691557.81,1,"Pabrik, Taman",564,11
PID0010,Jl Raya Sidoarjo,Sidoharjo,Ruko,6380776810,7328359019,3173681840.637478,11,Pusat Perbelanjaan;Pusat Hiburan,546,8
PID0011,Jl Mawar,Banyuwangi,Gudang,1116139729,1217372897,286266700.29919976,6,Universitas;Transportasi Umum;Kafe,714,36
PID0012,Jl Raya Selecta,Batu,Vila,8083693988,9288138198,2273423509.07937,7,Sekolah;Taman;Pusat Perbelanjaan,417,43
PID0013,Jl Mayjen Sungkono,Kediri,Ruko,1404940261,1650694146,572313581.9735112,9,Sekolah;Universitas;Transportasi Umum,651,9
PID0014,Jl Ahmad Yani,Sidoharjo,Rumah Tunggal,6377472407,7361936695,2582210031.2087817,10,Pusat Perbelanjaan;Pusat Hiburan,485,40
PID0015,Jl Ahmad Yani,Sidoharjo,Komplek Perumahan,4121866755,4739706463,41218667.550000004,1,Pabrik,426,17
PID0016,Jl Pahlawan,Tulung Agung,Komplek Perumahan,2768713171,2952550349,767315699.7449646,6,Universitas;Transportasi Umum,133,29
PID0017,Jl Raya Krian,Sidoharjo,Ruko,7597571234,7745981888,2607423628.491044,8,Kantor;Pusat Perbelanjaan;Transportasi Umum,502,24
PID0018,Jl Soekarno Hatta,Malang,Vila,900030953,1074449683,339883335.4146337,7,Universitas;Transportasi Umum;Kafe,105,32
PID0019,Jl Anjasmoro,Blitar,Rumah Tunggal,7695606314,8554765301,3342701818.356849,10,Pusat Perbelanjaan;Pusat Hiburan,258,26
PID0020,Jl Raya Selecta,Batu,Komplek Perumahan,856170319,931536877,10940791.0594819,2,Pabrik,193,34
PID0021,Jl Diponegoro,Madiun,Rumah Tunggal,877289536,974899542,8772895.36,1,"Pabrik, Taman",692,7
PID0022,Jl Ijen Nirwana,Malang,Komplek Perumahan,4008466771,4639817426,40084667.71,1,"Pabrik, Taman",885,48
PID0023,Jl Dhoho,Kediri,Gudang,3837794033,4383083843,56478658.70442925,2,"Pabrik, Taman",979,9
PID0024,Jl Ijen Nirwana,Malang,Rumah Tunggal,3822340598,4545528016,872550301.8114474,9,Universitas;Transportasi Umum,491,6
PID0025,Jl Brigjend Slamet Riyadi,Malang,Komplek Perumahan,803813162,826630546,23872041.350105565,4,Objek Wisata,107,30
PID0026,Jl Raya Selecta,Batu,Vila,5723895368,5874958417,2650396167.0673175,7,Sekolah;Taman;Pusat Perbelanjaan,512,16
PID0027,Jl Diponegoro,Banyuwangi,Gudang,5208300652,5750890788,2090328583.6648214,12,Universitas;Kantor;Pusat Perbelanjaan,857,40
PID0028,Jl Gubeng,Surabaya,Gedung,2453545040,2600470579,1098940895.164785,11,Pusat Perbelanjaan;Pusat Hiburan,906,47
PID0029,Jl Pahlawan,Tulung Agung,Komplek Perumahan,6510021755,6748698196,163076347.74886596,3,Pabrik;Taman;Sekolah,493,28
PID0030,Jl Diponegoro,Madiun,Ruko,995386095,1012163919,396717519.57821244,6,Objek Wisata,767,16
PID0031,Jl Raya Panderman,Batu,Komplek Perumahan,7478359573,8704874743,122011576.12219378,3,Pabrik;Taman;Sekolah,980,32
